Position,2023-04-09 13:52,2023-04-09 14:52,2023-04-09 15:52,2023-04-09 16:52,2023-04-09 17:52,2023-04-09 18:52,2023-04-09 19:52,2023-04-09 20:52,2023-04-09 21:52,2023-04-09 22:52,2023-04-09 23:52,2023-04-10 00:52,2023-04-10 01:52,2023-04-10 02:52,2023-04-10 03:52,2023-04-10 04:52,2023-04-10 05:52,2023-04-10 06:52,2023-04-10 07:52,2023-04-10 08:52,2023-04-10 09:52,2023-04-10 10:52,2023-04-10 11:52,2023-04-10 12:52,2023-04-10 13:52,2023-04-10 14:52,2023-04-10 15:52,2023-04-10 16:52,2023-04-10 17:52,2023-04-10 18:52,2023-04-10 19:52,2023-04-10 20:52,2023-04-10 21:52,2023-04-10 22:52,2023-04-10 23:52
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
北區-民營-中國醫藥大學五權立體P,381,388,372,342,314,308,261,216,175,148,148,145,141,143,143,142,141,151,234,356,412,429,393,368,391,388,363,322,267,228,202,184,157,139,137
北區-科博-科博館第一(博館路)停車場,89,89,89,54,76,68,50,31,30,30,30,30,30,30,2,2,2,2,5,13,19,35,34,30,29,25,29,22,14,12,14,8,3,3,3
北區-科博-科博館第二(植物園)停車場,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36
北區-科博-科博館第三(西屯)停車場,168,168,146,95,33,19,12,13,13,13,14,14,14,14,14,14,14,13,21,61,70,66,60,54,48,47,47,51,39,27,17,13,12,11,12
西區-民營-廣三SOGO停車場,367,355,311,275,291,347,289,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,128,125,74,60,32,50,86,86,32,0,0,0
西區-觀旅局-草悟廣場地下P,228,228,228,228,226,213,168,103,57,31,30,27,27,27,27,27,27,27,30,66,92,109,138,170,178,166,151,143,122,106,88,74,50,41,39
西區-民營-台灣聯通勤美誠品P,742,821,857,851,803,737,654,517,377,363,361,363,366,367,367,367,366,368,379,459,472,491,536,588,591,592,588,571,532,505,496,451,387,375,371
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
西區-民營-Times台中博館三街P,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
西區-民營-OSCAR Park 1P,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
南屯區-公有-文心森林公園附屬P,105,117,117,117,117,93,80,70,64,57,53,49,49,50,51,51,50,49,49,84,109,105,102,83,83,92,105,88,79,76,70,70,65,54,51
南屯區-公有(捷運文心森林公園站)-惠文P,235,310,310,295,251,180,134,113,94,92,88,89,87,87,86,86,86,78,94,145,170,200,202,203,210,208,205,215,194,169,165,137,114,103,98
南屯區-民營-宜家家居台中店P,555,555,555,555,555,555,555,555,555,555,555,555,555,555,555,555,555,555,555,555,555,555,555,555,555,555,555,555,555,555,555,555,555,555,555
西區-國美館-國美館美術園區P,128,128,128,112,85,31,5,0,0,0,0,0,0,0,0,0,0,0,0,0,16,20,18,21,16,18,17,13,0,0,0,0,0,0,0
西區-國美館-國美館民生園區P,87,87,87,87,87,68,50,33,25,26,26,26,26,27,27,27,27,28,25,25,40,43,52,54,55,61,54,42,35,36,33,29,23,23,23
西區-文化局-臺中市大墩文化中心平面P,50,50,50,50,23,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,50,50,50,50,0,0,0,0,0,0,50,50,50
西區-公有-美村P,100,98,100,101,101,91,69,60,47,41,42,39,39,39,39,39,39,38,41,47,50,52,61,72,70,64,54,49,63,80,79,56,45,40,40
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
北屯區-公有(捷運四維國小站)-三光P,42,57,52,46,42,31,28,25,22,23,23,23,23,23,24,24,24,24,28,36,42,49,49,41,40,41,36,34,33,36,42,37,28,25,24
西屯區-公有(捷運市政府站)-市政公園P,539,661,650,590,532,471,390,324,296,275,272,275,255,254,253,252,253,260,420,762,851,865,875,870,878,892,856,792,565,442,370,319,293,277,271
南屯區-公有(捷運水安宮站)-水安宮地下P,90,95,90,92,88,95,97,95,83,75,73,72,73,72,73,72,72,71,86,101,103,103,104,104,103,104,104,101,97,91,85,79,74,75,73
南屯區-公有(捷運文心森林公園站)-惠文P,235,310,310,295,251,180,134,113,94,92,88,89,87,87,86,86,86,78,94,145,170,200,202,203,210,208,205,215,194,169,165,137,114,103,98
南屯區-公有(捷運豐樂公園站)-豐樂P,361,361,361,361,340,323,266,177,87,48,46,44,44,45,45,45,45,44,39,43,55,63,83,110,124,115,94,79,73,71,73,56,49,46,48
南屯區-公有(捷運豐樂公園站)-豐功P,96,78,38,36,88,91,94,65,23,21,23,23,23,24,25,24,24,24,24,31,42,40,67,65,53,45,44,42,34,40,38,31,26,23,24
南區-公有(捷運大慶站)-大慶P,43,46,37,34,24,15,14,10,5,4,3,6,5,8,7,5,5,7,19,88,131,122,99,57,72,98,103,71,31,48,58,34,131,13,10
烏日區-公所(捷運烏日站)-烏日區停八P,51,51,51,57,56,56,59,60,60,63,64,64,51,66,51,66,66,51,50,51,51,40,41,51,48,51,51,51,51,51,51,57,58,61,51
豐原區-公有-豐原轉運中心停車場,150,144,119,118,117,124,112,108,106,105,108,109,109,110,110,109,110,111,112,116,120,118,118,119,115,121,121,115,115,110,115,112,106,102,102
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
豐原區-公有-葫蘆墩圳平面P3,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36
豐原區-公有-葫蘆墩圳平面P4,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32
豐原區-民營-全聯豐原向陽P,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26
豐原區-民營-Times台中豐原向陽博愛P,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
北屯區-民營-臺中洲際棒球場立體P,539,520,516,518,529,539,544,560,571,583,586,587,590,589,589,589,588,583,575,571,572,566,562,561,559,556,557,559,562,570,570,571,579,583,586
北屯區-公有-仁德P,59,64,64,68,70,74,71,62,56,52,52,54,54,52,52,52,52,51,44,51,49,49,56,54,71,77,77,77,68,62,60,55,56,55,55
北屯區-建設局-(細廣停1)P,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43
北屯區-公有-廣兼停23平面P(仁和公園P),42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42
北屯區-民營-台灣聯通台中崇美P,5,7,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0
北屯區-民營-幸福車房山西站P,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
